id	topic
kvisa	general
kach	general
knesiya	general
kishron	general
kineret	general
koteret	general
kisuy	general
karich	general
kefel	general
kinim	infectious
leachar	general
leitim	general
loa	anatomy
lamrot	general
lelo	general
licha	respiratory
lefeta	general
lefi	medications
leumat	general
lachen	general
likuy	symptoms
leda	obgyn
litut	general
lachutz	mental_health
lihyot	general
lovesh	general
leumi	general
tziburi	general
lemida	pediatrics
leumat-zot	general
larov	general
leitim-krovot	general
leitim-rechokot	general
lachmaniya	general
letzaari	general
lochesh	general
lemarbe-hatzaar	general
likrat	general
lemaan	general
lechi	anatomy
leset	anatomy
meunyan	general
mugbar	symptoms
mishush	procedures
milvad	general
machsor	general
muda	neuro
motza	general
maakav	general
mana	medications
meshech	symptoms
mashmauti	general
meid	lab_imaging
mekubal	general
mufchat	medications
menach	procedures
mishni	general
mimtza	lab_imaging
mitgorer	general
meaz	general
mishcha	medications
meudkan	general
mezeg-avir	general
metach	mental_health
mashlim	lab_imaging
makel	msk
markiv	medications
mishtane	general
mekomi	procedures
maamatz	cardiology
mifrak	msk
makbil	general
mishtatef	general
maamar	general
meida	general
meafyen	general
metzoraf	general
machanak	emergency
mefutach	general
mitkadem	general
merchav	general
merchak	general
mechusan	infectious
mitkashe	symptoms
mitgalgel	general
melai	general
merokan	general
mefuzar	general
matzeget	general
martze	general
meteg	general
meruba	general
malben	general
mitbayesh	mental_health
megavan	general
mezoham	infectious
muvtal	general
meshulav	medications
menuhal	general
merukaz	general
mitmaked	general
metushtash	symptoms
mibchina	general
mavchena	lab_imaging
melachuti	procedures
meshumash	general
mitlabesh	general
makif	general
muchlat	general
meunan	general
metugan	general
mevushal	general
memutza	general
mechika	general
matun	symptoms
madaf	general
mervach	medications
misra	general
mismach	general
mifgash	general
merkazi	neuro
matechet	procedures
mugzam	general
meshek-bait	general
mesubach	general
mutzlach	procedures
muar	general
metzuka	emergency
mitargen	general
mitchalef	general
mivreshet	general
mishka	lab_imaging
masait	general
madrich	general
mechabei-esh	emergency
machavat	general
maafiya	general
makar	general
mesiba	general
muslemi	general
masoret	general
masorti	general
maftia	general
merageish	general
maavak	general
miluli	neuro
mapa	general
meyubash	general
makor	general
mumche	general
madim	general
motzetz	pediatrics
matzaim	procedures
meorer	general
meayef	general
manul	general
meabtech	general
metziut	general
metziuti	general
maslul	general
michtav	procedures
matematika	general
menora	general
masa	lab_imaging
masivi	emergency
melech	general
malka	general
mekarer	medications
makpi	general
misgad	general
memaher	general
meara	general
minhara	msk
mineral	medications
moshav	general
matuach	mental_health
moil	general
mar-a	general
matkon	general
mniya	general
migdal	general
meshoar	general
menuse	general
mishmaat	general
mitzva	general
maane	general
misgeret	general
manoa	general
mitztayen	general
mevutach	general
meshutak	neuro
michse	general
mitgaagea	mental_health
mitrageish	mental_health
mitlahev	mental_health
meduza	emergency
mazon	general
matlit	procedures
metzach	anatomy
makolet	general
maarechet-yechasim	mental_health
miktzoi	general
mesima	general
matala	general
milga	general
masrek	general
nayad	general
nosaf	general
neched	general
nin	general
natal	medications
niftar	general
naar	pediatrics
naara	pediatrics
nochechi	general
nikar	general
ninoach	mental_health
nafotz	medications
natun	lab_imaging
nefila	emergency
netiya	general
nes	general
nifla	general
nehedar	general
nefesh	mental_health
nafshi	mental_health
nativ	general
netul	medications
neitrali	general
notzri	general
nirdam	symptoms
nihul	general
nagish	general
nimol	genitourinary
neherag	emergency
nechbal	emergency
nora-shot	emergency
nura	general
nof	general
nasich	general
nesia	general
nitzachon	general
noar	pediatrics
nachush	mental_health
neshira	dermatology
naul	general
nimdad	procedures
nishlal	lab_imaging
nedar	general
nisrat	dermatology
nochechut	general
nitzol	general
nitzal	emergency
nishpach	general
nistar	general
sikum	procedures
siman	symptoms
sfira	lab_imaging
samuy	lab_imaging
sfiga	medications
sukeret	endocrine
sviva	general
sadir	cardiology
savir	general
sinun	genitourinary
sivuch	procedures
sfika	cardiology
siudi	general
safek	general
samim	mental_health
sagur	msk
sofani	general
saf	symptoms
siyur	general
signon	general
solela	cardiology
sefel	general
sgan	general
samuch	medications
savlani	general
siyum	general
sveder	general
sufa	general
sof-shavua	general
semel	general
sigaria	general
schum	general
safsal	general
sabon	general
siruk	general
atzmai	general
ishen	general
arach	general
akatz	dermatology
alul	medications
ikari	general
iver	symptoms
akiv	general
akev	anatomy
ekev	general
edut	general
ibuy	lab_imaging
az-intense	symptoms
olami	general
uvda	general
emda	general
atidi	general
achshavi	general
idkani	medications
akeret-bait	general
al-menat	general
ani-poor	general
akira	procedures
amuda	general
asor	general
esek	general
amud-shidra	anatomy
akshan	general
otzma	symptoms
atik	general
ikuv	pediatrics
akitza	dermatology
isuk	procedures
asuy	medications
erech	lab_imaging
itonai	general
emek	general
otzmati	general
onesh	general
aricha	general
avera	general
agil	general
anavim	general
itzuv	general
peula	procedures
poriyut	obgyn
peruk	medications
pensia	general
pinuy	emergency
pitom	symptoms
pachmimot	endocrine
patuach	msk
paot	pediatrics
pesimi	mental_health
pkak	general
pizur	general
fizi	general
fiziologi	general
prika	msk
pagua	emergency
patzua	emergency
pina	general
pitzuy	general
petek	general
pnimi	general
parva	general
paramedik	emergency
pitma	anatomy
paros	dermatology
pishpesh	dermatology
pras	general
pniya	general
piturim	general
poel	general
pesha	general
peshia	general
poshea	general
prakti	general
peima	cardiology
pita	general
paamon	procedures
perek	msk
parpar	general
para	general
tzalul	neuro
tzriva	symptoms
tziyen	general
tzarevet	gastro
tznicha	obgyn
tzlil	cardiology
tzad	general
tziftzuf	respiratory
tzivoni	general
tzamud	procedures
tzefi	general
tzipiya	general
tzinorit	procedures
tzafuy	general
tzafuf	general
tzichtzuach	general
tzchok	general
tzrachim-meyuchadim	pediatrics
tzeruf	medications
tzamach	general
tzemach	general
tzimchoni	general
tzaleket	dermatology
tzira	emergency
tzaif	general
tzayar	general
tzofe	general
tzamid	procedures
tzorev	symptoms
tzricha	general
tzav	general
kashish	general
krisa	emergency
kotzev-lev	cardiology
klik	general
kirva	general
kognitivi	neuro
ketzef	general
kvutza	lab_imaging
kerach	procedures
kafu	msk
kitzoni	general
karkefet	anatomy
kemet	dermatology
katua	msk
ktia	procedures
katzar	general
karov-mishpacha	general
kanyon	general
kabaim	msk
kefel-fold	anatomy
kipul	general
kabala	procedures
kiluf	dermatology
katzin	general
knas	general
karnit	anatomy
klita	general
kesem	general
kishur	general
kfitza	general
kerur	medications
kadosh	general
klipa	general
korban	emergency
kashuach	general
katnit	general
kor	symptoms
korkinet	emergency
kavua	medications
kibua	emergency
kakao	general
kufsa	medications
reka	general
ravak	general
ratzuy	general
rach	general
reiya	symptoms
rama	lab_imaging
rishrush	general
rir	symptoms
rikma	anatomy
retzua	msk
rafuy	neuro
raui	general
ragua	mental_health
refui	general
regesh	mental_health
rigshi	mental_health
rishoni	procedures
reali	general
risim	anatomy
remez	general
retzef	general
rav-paami	procedures
rikud	general
rav	general
rotev	general
ratzon	general
ripuy	procedures
reshet	general
rishayon	general
retivut	pediatrics
roesh	general
roshem	general
rishmi	general
rigi	general
raad	neuro
reidat-adama	emergency
rochsan	general
shifshuf	dermatology
shiluv	general
shmia	symptoms
shok	anatomy
shok-helem	emergency
shuli	general
shiul	respiratory
shuman	lab_imaging
shetach	general
shohe	general
shgia	general
sarad	general
sheled	anatomy
shimush	medications
shvil	general
shlila	lab_imaging
safa	general
sfatayim	anatomy
shichrut	mental_health
shnati	general
shoresh	procedures
smicha	procedures
sherut	general
sherut-leumi	general
shastom	cardiology
shita	general
sachkan	general
saara	anatomy
shinuy	general
safam	general
sheka	general
schiya	general
shituf	general
sharsheret	general
srita	dermatology
shtifa	procedures
shituk	neuro
srefa	emergency
shchika	msk
shkedim	respiratory
shaked	general
taasiya	general
tchusha	symptoms
tofaat-levai	medications
tzuna	general
ta	lab_imaging
teshishut	symptoms
tifkud	lab_imaging
tfuka	procedures
taflit	respiratory
tnucha	procedures
tarbit	lab_imaging
totav	procedures
teur	symptoms
toch	medications
tachboshet	procedures
toshav	general
tochna	general
tkufa	general
tosaftan	gastro
tashush	symptoms
tmicha	mental_health
tachtonim	general
tizkoret	general
tanur	general
teunat-drachim	emergency
teunat-avoda	emergency
teom	obgyn
taarich	general
tfila	general
tzuza	msk
tikiya	general
tavlin	general
toran	general
toranut	general
darach	general
chamor	general
yashen	general
mukar	general
shetef	emergency
